[2025-05-05 23:30:03,154][generator][INFO] - Start generate dataset.
[2025-05-05 23:30:03,157][generator][INFO] - Config:
data_generator:
  model_name: VGG19
  dataset_name: CIFAR100
  big_batch_size: 500
  small_batch_size: 128
  num_workers: 4
  target: generate_dataset.VGG_generator.VGG19_on_CIFAR100_generator
  cfg:
    speed_up:
    - 3.0
    - 4.0
    method: ${method}
    model_name: ${data_generator.model_name}
    dataset_name: ${data_generator.dataset_name}
_recursive_: true
level: 2
index: 2
num: 3
num_proc: 1
method: group_sl
name: ${data_generator.model_name}_on_${data_generator.dataset_name}
model_name: ${data_generator.model_name}
dataset_name: ${data_generator.dataset_name}
save_path: ../dataset_model/${name}_level_${level}_${index}
dataset_path: ../dataset/${data_generator.dataset_name}
cache_path: .cache/${index}
generator:
  _target_: ${data_generator.target}
  _recursive_: true
  _partial_: true
  level: ${level}
  method: ${method}
  num: ${num}
  cfg: ${data_generator.cfg}
  cfg_big_dataset: ${big_batch_dataset}
  cfg_small_dataset: ${small_batch_dataset}
dataset:
  dataset_name: ${data_generator.dataset_name}
  num_workers: ${data_generator.num_workers}
  big_batch: ${data_generator.big_batch_size}
  small_batch: ${data_generator.small_batch_size}
  dataset_path: ${dataset_path}
big_batch_dataset:
  dataset_name: ${dataset.dataset_name}
  batch_size: ${dataset.big_batch}
  num_workers: ${dataset.num_workers}
  dataset_path: ${dataset.dataset_path}
small_batch_dataset:
  dataset_name: ${dataset.dataset_name}
  batch_size: ${dataset.small_batch}
  num_workers: ${dataset.num_workers}
  dataset_path: ${dataset.dataset_path}

[2025-05-05 23:30:15,067][train][INFO] - Before training : Train Acc=0.0099  Val Acc=0.0100
[2025-05-05 23:30:23,219][train][INFO] - Epoch 1/200, Val Acc=0.0754, Val Loss=3.9657, lr=0.1000
[2025-05-05 23:30:31,099][train][INFO] - Epoch 2/200, Val Acc=0.1234, Val Loss=3.5942, lr=0.1000
[2025-05-05 23:30:39,094][train][INFO] - Epoch 3/200, Val Acc=0.1255, Val Loss=3.8199, lr=0.1000
[2025-05-05 23:30:47,040][train][INFO] - Epoch 4/200, Val Acc=0.2058, Val Loss=3.2073, lr=0.1000
[2025-05-05 23:30:54,887][train][INFO] - Epoch 5/200, Val Acc=0.2059, Val Loss=3.2329, lr=0.1000
[2025-05-05 23:31:02,650][train][INFO] - Epoch 6/200, Val Acc=0.2901, Val Loss=2.7977, lr=0.1000
[2025-05-05 23:31:10,679][train][INFO] - Epoch 7/200, Val Acc=0.3122, Val Loss=2.6886, lr=0.1000
[2025-05-05 23:31:18,604][train][INFO] - Epoch 8/200, Val Acc=0.3458, Val Loss=2.5212, lr=0.1000
[2025-05-05 23:31:26,435][train][INFO] - Epoch 9/200, Val Acc=0.3322, Val Loss=2.6131, lr=0.1000
[2025-05-05 23:31:34,515][train][INFO] - Epoch 10/200, Val Acc=0.3449, Val Loss=2.5927, lr=0.1000
[2025-05-05 23:31:42,352][train][INFO] - Epoch 11/200, Val Acc=0.3979, Val Loss=2.3293, lr=0.1000
[2025-05-05 23:31:50,342][train][INFO] - Epoch 12/200, Val Acc=0.3791, Val Loss=2.4308, lr=0.1000
[2025-05-05 23:31:58,397][train][INFO] - Epoch 13/200, Val Acc=0.3763, Val Loss=2.4377, lr=0.1000
[2025-05-05 23:32:06,356][train][INFO] - Epoch 14/200, Val Acc=0.4022, Val Loss=2.2897, lr=0.1000
[2025-05-05 23:32:14,365][train][INFO] - Epoch 15/200, Val Acc=0.4229, Val Loss=2.1473, lr=0.1000
[2025-05-05 23:32:22,379][train][INFO] - Epoch 16/200, Val Acc=0.4331, Val Loss=2.1334, lr=0.1000
[2025-05-05 23:32:30,642][train][INFO] - Epoch 17/200, Val Acc=0.4522, Val Loss=2.0597, lr=0.1000
[2025-05-05 23:32:38,659][train][INFO] - Epoch 18/200, Val Acc=0.4015, Val Loss=2.3560, lr=0.1000
[2025-05-05 23:32:46,511][train][INFO] - Epoch 19/200, Val Acc=0.3892, Val Loss=2.4474, lr=0.1000
[2025-05-05 23:32:54,537][train][INFO] - Epoch 20/200, Val Acc=0.3715, Val Loss=2.6522, lr=0.1000
[2025-05-05 23:33:02,492][train][INFO] - Epoch 21/200, Val Acc=0.4379, Val Loss=2.1808, lr=0.1000
[2025-05-05 23:33:10,461][train][INFO] - Epoch 22/200, Val Acc=0.4564, Val Loss=2.0494, lr=0.1000
[2025-05-05 23:33:18,388][train][INFO] - Epoch 23/200, Val Acc=0.4493, Val Loss=2.2157, lr=0.1000
[2025-05-05 23:33:26,395][train][INFO] - Epoch 24/200, Val Acc=0.4659, Val Loss=2.0448, lr=0.1000
[2025-05-05 23:33:34,248][train][INFO] - Epoch 25/200, Val Acc=0.4844, Val Loss=1.9908, lr=0.1000
[2025-05-05 23:33:42,057][train][INFO] - Epoch 26/200, Val Acc=0.4711, Val Loss=2.0510, lr=0.1000
[2025-05-05 23:33:50,062][train][INFO] - Epoch 27/200, Val Acc=0.4375, Val Loss=2.2070, lr=0.1000
[2025-05-05 23:33:57,963][train][INFO] - Epoch 28/200, Val Acc=0.4637, Val Loss=2.0902, lr=0.1000
[2025-05-05 23:34:05,847][train][INFO] - Epoch 29/200, Val Acc=0.4670, Val Loss=2.1245, lr=0.1000
[2025-05-05 23:34:14,010][train][INFO] - Epoch 30/200, Val Acc=0.4397, Val Loss=2.2552, lr=0.1000
[2025-05-05 23:34:22,072][train][INFO] - Epoch 31/200, Val Acc=0.4798, Val Loss=1.9987, lr=0.1000
[2025-05-05 23:34:30,034][train][INFO] - Epoch 32/200, Val Acc=0.4726, Val Loss=2.0457, lr=0.1000
[2025-05-05 23:34:37,855][train][INFO] - Epoch 33/200, Val Acc=0.4341, Val Loss=2.3102, lr=0.1000
[2025-05-05 23:34:45,768][train][INFO] - Epoch 34/200, Val Acc=0.4918, Val Loss=1.9591, lr=0.1000
[2025-05-05 23:34:53,821][train][INFO] - Epoch 35/200, Val Acc=0.4222, Val Loss=2.3136, lr=0.1000
[2025-05-05 23:35:01,775][train][INFO] - Epoch 36/200, Val Acc=0.4932, Val Loss=1.9683, lr=0.1000
[2025-05-05 23:35:09,623][train][INFO] - Epoch 37/200, Val Acc=0.4561, Val Loss=2.2219, lr=0.1000
[2025-05-05 23:35:17,287][train][INFO] - Epoch 38/200, Val Acc=0.4396, Val Loss=2.2642, lr=0.1000
[2025-05-05 23:35:25,348][train][INFO] - Epoch 39/200, Val Acc=0.4651, Val Loss=2.1378, lr=0.1000
[2025-05-05 23:35:33,281][train][INFO] - Epoch 40/200, Val Acc=0.4639, Val Loss=2.1543, lr=0.1000
[2025-05-05 23:35:41,117][train][INFO] - Epoch 41/200, Val Acc=0.4698, Val Loss=2.1154, lr=0.1000
[2025-05-05 23:35:48,984][train][INFO] - Epoch 42/200, Val Acc=0.4473, Val Loss=2.3055, lr=0.1000
[2025-05-05 23:35:56,950][train][INFO] - Epoch 43/200, Val Acc=0.5099, Val Loss=1.8984, lr=0.1000
[2025-05-05 23:36:04,858][train][INFO] - Epoch 44/200, Val Acc=0.4394, Val Loss=2.3745, lr=0.1000
[2025-05-05 23:36:12,746][train][INFO] - Epoch 45/200, Val Acc=0.4359, Val Loss=2.3638, lr=0.1000
[2025-05-05 23:36:20,641][train][INFO] - Epoch 46/200, Val Acc=0.4794, Val Loss=2.0705, lr=0.1000
[2025-05-05 23:36:28,659][train][INFO] - Epoch 47/200, Val Acc=0.4796, Val Loss=2.0375, lr=0.1000
[2025-05-05 23:36:36,692][train][INFO] - Epoch 48/200, Val Acc=0.4832, Val Loss=2.0025, lr=0.1000
[2025-05-05 23:36:44,880][train][INFO] - Epoch 49/200, Val Acc=0.4489, Val Loss=2.2775, lr=0.1000
[2025-05-05 23:36:53,129][train][INFO] - Epoch 50/200, Val Acc=0.4944, Val Loss=2.0496, lr=0.1000
[2025-05-05 23:37:01,321][train][INFO] - Epoch 51/200, Val Acc=0.4899, Val Loss=2.0353, lr=0.1000
[2025-05-05 23:37:09,181][train][INFO] - Epoch 52/200, Val Acc=0.4752, Val Loss=2.0727, lr=0.1000
[2025-05-05 23:37:17,041][train][INFO] - Epoch 53/200, Val Acc=0.4534, Val Loss=2.2599, lr=0.1000
[2025-05-05 23:37:25,141][train][INFO] - Epoch 54/200, Val Acc=0.4753, Val Loss=2.1336, lr=0.1000
[2025-05-05 23:37:33,061][train][INFO] - Epoch 55/200, Val Acc=0.4868, Val Loss=2.0823, lr=0.1000
[2025-05-05 23:37:40,914][train][INFO] - Epoch 56/200, Val Acc=0.4725, Val Loss=2.2486, lr=0.1000
[2025-05-05 23:37:48,706][train][INFO] - Epoch 57/200, Val Acc=0.5276, Val Loss=1.8346, lr=0.1000
[2025-05-05 23:37:56,601][train][INFO] - Epoch 58/200, Val Acc=0.4340, Val Loss=2.4622, lr=0.1000
[2025-05-05 23:38:04,653][train][INFO] - Epoch 59/200, Val Acc=0.5190, Val Loss=1.8726, lr=0.1000
[2025-05-05 23:38:12,655][train][INFO] - Epoch 60/200, Val Acc=0.5053, Val Loss=1.9625, lr=0.1000
[2025-05-05 23:38:20,691][train][INFO] - Epoch 61/200, Val Acc=0.4619, Val Loss=2.1527, lr=0.1000
[2025-05-05 23:38:28,570][train][INFO] - Epoch 62/200, Val Acc=0.4555, Val Loss=2.2198, lr=0.1000
[2025-05-05 23:38:36,724][train][INFO] - Epoch 63/200, Val Acc=0.5019, Val Loss=1.9653, lr=0.1000
[2025-05-05 23:38:44,684][train][INFO] - Epoch 64/200, Val Acc=0.4922, Val Loss=2.0491, lr=0.1000
[2025-05-05 23:38:52,399][train][INFO] - Epoch 65/200, Val Acc=0.4918, Val Loss=2.0050, lr=0.1000
