[2025-05-05 19:03:57,808][generator][INFO] - Start generate dataset.
[2025-05-05 19:03:57,811][generator][INFO] - Config:
data_generator:
  model_name: VGG19
  dataset_name: CIFAR100
  big_batch_size: 500
  small_batch_size: 128
  num_workers: 4
  target: generate_dataset.VGG_generator.VGG19_on_CIFAR100_generator
  cfg:
    speed_up:
    - 3.0
    - 4.0
    method: ${method}
    model_name: ${data_generator.model_name}
    dataset_name: ${data_generator.dataset_name}
_recursive_: true
level: 2
index: 2
num: 3
num_proc: 1
method: group_sl
name: ${data_generator.model_name}_on_${data_generator.dataset_name}
model_name: ${data_generator.model_name}
dataset_name: ${data_generator.dataset_name}
save_path: ../dataset_model/${name}_level_${level}_${index}
dataset_path: ../dataset/${data_generator.dataset_name}
cache_path: .cache/${index}
generator:
  _target_: ${data_generator.target}
  _recursive_: true
  _partial_: true
  level: ${level}
  method: ${method}
  num: ${num}
  cfg: ${data_generator.cfg}
  cfg_big_dataset: ${big_batch_dataset}
  cfg_small_dataset: ${small_batch_dataset}
dataset:
  dataset_name: ${data_generator.dataset_name}
  num_workers: ${data_generator.num_workers}
  big_batch: ${data_generator.big_batch_size}
  small_batch: ${data_generator.small_batch_size}
  dataset_path: ${dataset_path}
big_batch_dataset:
  dataset_name: ${dataset.dataset_name}
  batch_size: ${dataset.big_batch}
  num_workers: ${dataset.num_workers}
  dataset_path: ${dataset.dataset_path}
small_batch_dataset:
  dataset_name: ${dataset.dataset_name}
  batch_size: ${dataset.small_batch}
  num_workers: ${dataset.num_workers}
  dataset_path: ${dataset.dataset_path}

[2025-05-05 19:09:20,046][train][INFO] - Epoch 39/200, Val Acc=0.4915, Val Loss=1.9669, lr=0.1000
[2025-05-05 19:09:27,942][train][INFO] - Epoch 40/200, Val Acc=0.4434, Val Loss=2.3049, lr=0.1000
[2025-05-05 19:09:35,980][train][INFO] - Epoch 41/200, Val Acc=0.4945, Val Loss=1.9271, lr=0.1000
[2025-05-05 19:09:43,781][train][INFO] - Epoch 42/200, Val Acc=0.4712, Val Loss=2.1496, lr=0.1000
[2025-05-05 19:09:51,615][train][INFO] - Epoch 43/200, Val Acc=0.4528, Val Loss=2.2228, lr=0.1000
[2025-05-05 19:09:59,680][train][INFO] - Epoch 44/200, Val Acc=0.4861, Val Loss=2.0148, lr=0.1000
[2025-05-05 19:10:07,553][train][INFO] - Epoch 45/200, Val Acc=0.5022, Val Loss=2.0021, lr=0.1000
[2025-05-05 19:10:15,536][train][INFO] - Epoch 46/200, Val Acc=0.4500, Val Loss=2.2451, lr=0.1000
[2025-05-05 19:10:23,778][train][INFO] - Epoch 47/200, Val Acc=0.5207, Val Loss=1.8569, lr=0.1000
[2025-05-05 19:10:31,725][train][INFO] - Epoch 48/200, Val Acc=0.4653, Val Loss=2.2490, lr=0.1000
[2025-05-05 19:10:39,638][train][INFO] - Epoch 49/200, Val Acc=0.4886, Val Loss=1.9871, lr=0.1000
[2025-05-05 19:10:47,583][train][INFO] - Epoch 50/200, Val Acc=0.4939, Val Loss=2.0322, lr=0.1000
